FECHA_VST,0,1,2,3,4
2017-07-12,623,485,0,428,652
2017-07-13,485,0,428,652,648
2017-07-14,0,428,652,648,587
2017-07-15,428,652,648,587,0
2017-07-16,652,648,587,0,0
2017-07-17,648,587,0,0,678
2017-07-18,587,0,0,678,648
2017-07-19,0,0,678,648,696
2017-07-20,0,678,648,696,682
2017-07-21,678,648,696,682,567
2017-07-22,648,696,682,567,0
2017-07-23,696,682,567,0,0
2017-07-24,682,567,0,0,319
2017-07-25,567,0,0,319,590
2017-07-26,0,0,319,590,502
2017-07-27,0,319,590,502,588
2017-07-28,319,590,502,588,539
2017-07-29,590,502,588,539,0
2017-07-30,502,588,539,0,0
2017-07-31,588,539,0,0,416
2017-08-01,539,0,0,416,0
2017-08-02,0,0,416,0,558
2017-08-03,0,416,0,558,595
2017-08-04,416,0,558,595,0
2017-08-05,0,558,595,0,623
2017-08-06,558,595,0,623,642
2017-08-07,595,0,623,642,0
2017-08-08,0,623,642,0,614
2017-08-09,623,642,0,614,453
2017-08-10,642,0,614,453,0
2017-08-11,0,614,453,0,641
2017-08-12,614,453,0,641,653
2017-08-13,453,0,641,653,0
2017-08-14,0,641,653,0,655
2017-08-15,641,653,0,655,672
2017-08-16,653,0,655,672,637
2017-08-17,0,655,672,637,628
2017-08-18,655,672,637,628,463
2017-08-19,672,637,628,463,0
2017-08-20,637,628,463,0,0
2017-08-21,628,463,0,0,495
2017-08-22,463,0,0,495,481
2017-08-23,0,0,495,481,474
2017-08-24,0,495,481,474,614
2017-08-25,495,481,474,614,411
2017-08-26,481,474,614,411,0
2017-08-27,474,614,411,0,0
2017-08-28,614,411,0,0,466
2017-08-29,411,0,0,466,559
2017-08-30,0,0,466,559,526
2017-08-31,0,466,559,526,447
2017-09-01,466,559,526,447,0
2017-09-02,559,526,447,0,563
2017-09-03,526,447,0,563,599
2017-09-04,447,0,563,599,0
2017-09-05,0,563,599,0,619
2017-09-06,563,599,0,619,572
2017-09-07,599,0,619,572,0
2017-09-08,0,619,572,0,542
2017-09-09,619,572,0,542,0
2017-09-10,572,0,542,0,0
2017-09-11,0,542,0,0,660
2017-09-12,542,0,0,660,0
2017-09-13,0,0,660,0,717
2017-09-14,0,660,0,717,710
2017-09-15,660,0,717,710,470
2017-09-16,0,717,710,470,0
2017-09-17,717,710,470,0,0
2017-09-18,710,470,0,0,545
2017-09-19,470,0,0,545,599
2017-09-20,0,0,545,599,596
2017-09-21,0,545,599,596,566
2017-09-22,545,599,596,566,422
2017-09-23,599,596,566,422,0
2017-09-24,596,566,422,0,0
2017-09-25,566,422,0,0,459
2017-09-26,422,0,0,459,599
2017-09-27,0,0,459,599,478
2017-09-28,0,459,599,478,606
2017-09-29,459,599,478,606,473
2017-09-30,599,478,606,473,0
2017-10-01,478,606,473,0,0
2017-10-02,606,473,0,0,530
2017-10-03,473,0,0,530,560
2017-10-04,0,0,530,560,671
2017-10-05,0,530,560,671,572
2017-10-06,530,560,671,572,0
2017-10-07,560,671,572,0,671
2017-10-08,671,572,0,671,475
2017-10-09,572,0,671,475,0
2017-10-10,0,671,475,0,648
2017-10-11,671,475,0,648,439
2017-10-12,475,0,648,439,0
2017-10-13,0,648,439,0,636
2017-10-14,648,439,0,636,0
2017-10-15,439,0,636,0,0
2017-10-16,0,636,0,0,750
2017-10-17,636,0,0,750,791
2017-10-18,0,0,750,791,808
2017-10-19,0,750,791,808,754
2017-10-20,750,791,808,754,564
2017-10-21,791,808,754,564,0
2017-10-22,808,754,564,0,0
2017-10-23,754,564,0,0,584
2017-10-24,564,0,0,584,459
2017-10-25,0,0,584,459,637
2017-10-26,0,584,459,637,500
2017-10-27,584,459,637,500,585
2017-10-28,459,637,500,585,1
2017-10-29,637,500,585,1,0
2017-10-30,500,585,1,0,603
2017-10-31,585,1,0,603,527
2017-11-01,1,0,603,527,0
2017-11-02,0,603,527,0,0
2017-11-03,603,527,0,0,0
2017-11-04,527,0,0,0,678
2017-11-05,0,0,0,678,620
2017-11-06,0,0,678,620,0
2017-11-07,0,678,620,0,679
2017-11-08,678,620,0,679,19
2017-11-09,620,0,679,19,648
2017-11-10,0,679,19,648,671
2017-11-11,679,19,648,671,0
2017-11-12,19,648,671,0,764
2017-11-13,648,671,0,764,746
2017-11-14,671,0,764,746,714
2017-11-15,0,764,746,714,707
2017-11-16,764,746,714,707,645
2017-11-17,746,714,707,645,490
2017-11-18,714,707,645,490,0
2017-11-19,707,645,490,0,0
2017-11-20,645,490,0,0,772
2017-11-21,490,0,0,772,698
2017-11-22,0,0,772,698,702
2017-11-23,0,772,698,702,664
2017-11-24,772,698,702,664,584
2017-11-25,698,702,664,584,0
2017-11-26,702,664,584,0,0
2017-11-27,664,584,0,0,698
2017-11-28,584,0,0,698,674
2017-11-29,0,0,698,674,714
2017-11-30,0,698,674,714,536
2017-12-01,698,674,714,536,0
2017-12-02,674,714,536,0,0
2017-12-03,714,536,0,0,0
2017-12-04,536,0,0,0,585
2017-12-05,0,0,0,585,599
2017-12-06,0,0,585,599,712
2017-12-07,0,585,599,712,664
2017-12-08,585,599,712,664,0
2017-12-09,599,712,664,0,714
2017-12-10,712,664,0,714,710
2017-12-11,664,0,714,710,0
2017-12-12,0,714,710,0,728
2017-12-13,714,710,0,728,772
2017-12-14,710,0,728,772,724
2017-12-15,0,728,772,724,423
2017-12-16,728,772,724,423,0
2017-12-17,772,724,423,0,0
2017-12-18,724,423,0,0,402
2017-12-19,423,0,0,402,49
2017-12-20,0,0,402,49,1
2017-12-21,0,402,49,1,1
2017-12-22,402,49,1,1,0
2017-12-23,49,1,1,0,0
2017-12-24,1,1,0,0,0
2017-12-25,1,0,0,0,0
2017-12-26,0,0,0,0,0
2017-12-27,0,0,0,0,0
2017-12-28,0,0,0,0,0
2017-12-29,0,0,0,0,0
2017-12-30,0,0,0,0,0
2017-12-31,0,0,0,0,0
2018-01-01,0,0,0,0,0
2018-01-02,0,0,0,0,640
2018-01-03,0,0,0,640,507
2018-01-04,0,0,640,507,0
2018-01-05,0,640,507,0,0
2018-01-06,640,507,0,0,0
2018-01-07,507,0,0,0,0
2018-01-08,0,0,0,0,0
2018-01-09,0,0,0,0,0
2018-01-10,0,0,0,0,0
2018-01-11,0,0,0,0,0
2018-01-12,0,0,0,0,0
2018-01-13,0,0,0,0,0
2018-01-14,0,0,0,0,0
2018-01-15,0,0,0,0,637
2018-01-16,0,0,0,637,595
2018-01-17,0,0,637,595,657
2018-01-18,0,637,595,657,634
2018-01-19,637,595,657,634,527
2018-01-20,595,657,634,527,0
2018-01-21,657,634,527,0,0
2018-01-22,634,527,0,0,590
2018-01-23,527,0,0,590,497
2018-01-24,0,0,590,497,447
2018-01-25,0,590,497,447,326
2018-01-26,590,497,447,326,135
2018-01-27,497,447,326,135,0
2018-01-28,447,326,135,0,0
2018-01-29,326,135,0,0,628
2018-01-30,135,0,0,628,554
2018-01-31,0,0,628,554,526
2018-02-01,0,628,554,526,0
2018-02-02,628,554,526,0,589
2018-02-03,554,526,0,589,436
2018-02-04,526,0,589,436,599
2018-02-05,0,589,436,599,367
2018-02-06,589,436,599,367,0
2018-02-07,436,599,367,0,0
2018-02-08,599,367,0,0,0
2018-02-09,367,0,0,0,0
2018-02-10,0,0,0,0,0
2018-02-11,0,0,0,0,0
2018-02-12,0,0,0,0,0
2018-02-13,0,0,0,0,1
2018-02-14,0,0,0,1,665
2018-02-15,0,0,1,665,664
2018-02-16,0,1,665,664,599
2018-02-17,1,665,664,599,0
