FECHA_VST,0,1,2,3,4,5
2017-01-06,0,48,0,0,51,477
2017-01-07,48,0,0,51,0,0
2017-01-08,0,0,51,0,46,572
2017-01-09,0,51,0,46,43,528
2017-01-10,51,0,46,43,0,0
2017-01-11,0,46,43,0,38,271
2017-01-12,46,43,0,38,61,461
2017-01-13,43,0,38,61,0,0
2017-01-14,0,38,61,0,0,0
2017-01-15,38,61,0,0,0,0
2017-01-16,61,0,0,0,0,0
2017-01-17,0,0,0,0,0,0
2017-01-18,0,0,0,0,0,0
2017-01-19,0,0,0,0,0,0
2017-01-20,0,0,0,0,0,0
2017-01-21,0,0,0,0,0,0
2017-01-22,0,0,0,0,0,0
2017-01-23,0,0,0,0,0,0
2017-01-24,0,0,0,0,0,0
2017-01-25,0,0,0,0,0,0
2017-01-26,0,0,0,0,0,0
2017-01-27,0,0,0,0,0,0
2017-01-28,0,0,0,0,0,0
2017-01-29,0,0,0,0,0,0
2017-01-30,0,0,0,0,0,0
2017-01-31,0,0,0,0,0,0
2017-02-01,0,0,0,0,0,0
2017-02-02,0,0,0,0,0,406
2017-02-03,0,0,0,0,7,458
2017-02-04,0,0,0,7,0,0
2017-02-05,0,0,7,0,63,606
2017-02-06,0,7,0,63,51,515
2017-02-07,7,0,63,51,0,0
2017-02-08,0,63,51,0,60,357
2017-02-09,63,51,0,60,0,0
2017-02-10,51,0,60,0,46,390
2017-02-11,0,60,0,46,0,0
2017-02-12,60,0,46,0,0,1
2017-02-13,0,46,0,0,0,579
2017-02-14,46,0,0,0,0,582
2017-02-15,0,0,0,0,0,660
2017-02-16,0,0,0,0,0,633
2017-02-17,0,0,0,0,0,502
2017-02-18,0,0,0,0,0,0
2017-02-19,0,0,0,0,0,0
2017-02-20,0,0,0,0,0,573
2017-02-21,0,0,0,0,0,540
2017-02-22,0,0,0,0,0,339
2017-02-23,0,0,0,0,0,418
2017-02-24,0,0,0,0,0,425
2017-02-25,0,0,0,0,0,0
2017-02-26,0,0,0,0,0,0
2017-02-27,0,0,0,0,0,0
2017-02-28,0,0,0,0,0,0
2017-03-01,0,0,0,0,0,5
2017-03-02,0,0,0,0,0,587
2017-03-03,0,0,0,0,43,573
2017-03-04,0,0,0,43,69,591
2017-03-05,0,0,43,69,0,449
2017-03-06,0,43,69,0,3,4
2017-03-07,43,69,0,3,27,588
2017-03-08,69,0,3,27,56,406
2017-03-09,0,3,27,56,0,0
2017-03-10,3,27,56,0,0,428
2017-03-11,27,56,0,0,0,0
2017-03-12,56,0,0,0,0,0
2017-03-13,0,0,0,0,75,704
2017-03-14,0,0,0,75,73,733
2017-03-15,0,0,75,73,71,711
2017-03-16,0,75,73,71,66,637
2017-03-17,75,73,71,66,58,557
2017-03-18,73,71,66,58,0,0
