FECHA_VST,0,1,2,3,4,5,6,7,8,9,10
2017-01-06,0,151,48,261,0,0,0,1,51,272,477
2017-01-07,48,261,0,0,0,1,51,272,0,0,0
2017-01-08,0,0,0,1,51,272,0,0,46,284,572
2017-01-09,0,1,51,272,0,0,46,284,43,273,528
2017-01-10,51,272,0,0,46,284,43,273,0,0,0
2017-01-11,0,0,46,284,43,273,0,0,38,133,271
2017-01-12,46,284,43,273,0,0,38,133,61,233,461
2017-01-13,43,273,0,0,38,133,61,233,0,0,0
2017-01-14,0,0,38,133,61,233,0,0,0,0,0
2017-01-15,38,133,61,233,0,0,0,0,0,0,0
2017-01-16,61,233,0,0,0,0,0,0,0,0,0
2017-01-17,0,0,0,0,0,0,0,0,0,0,0
2017-01-18,0,0,0,0,0,0,0,0,0,0,0
2017-01-19,0,0,0,0,0,0,0,0,0,0,0
2017-01-20,0,0,0,0,0,0,0,0,0,0,0
2017-01-21,0,0,0,0,0,0,0,0,0,0,0
2017-01-22,0,0,0,0,0,0,0,0,0,0,0
2017-01-23,0,0,0,0,0,0,0,0,0,0,0
2017-01-24,0,0,0,0,0,0,0,0,0,0,0
2017-01-25,0,0,0,0,0,0,0,0,0,0,0
2017-01-26,0,0,0,0,0,0,0,0,0,0,0
2017-01-27,0,0,0,0,0,0,0,0,0,0,0
2017-01-28,0,0,0,0,0,0,0,0,0,0,0
2017-01-29,0,0,0,0,0,0,0,0,0,0,0
2017-01-30,0,0,0,0,0,0,0,0,0,0,0
2017-01-31,0,0,0,0,0,0,0,0,0,0,0
2017-02-01,0,0,0,0,0,0,0,0,0,0,0
2017-02-02,0,0,0,0,0,0,0,0,0,132,406
2017-02-03,0,0,0,0,0,0,0,132,7,283,458
2017-02-04,0,0,0,0,0,132,7,283,0,0,0
2017-02-05,0,0,0,132,7,283,0,0,63,277,606
2017-02-06,0,132,7,283,0,0,63,277,51,306,515
2017-02-07,7,283,0,0,63,277,51,306,0,0,0
2017-02-08,0,0,63,277,51,306,0,0,60,131,357
2017-02-09,63,277,51,306,0,0,60,131,0,0,0
2017-02-10,51,306,0,0,60,131,0,0,46,182,390
2017-02-11,0,0,60,131,0,0,46,182,0,0,0
2017-02-12,60,131,0,0,46,182,0,0,0,1,1
2017-02-13,0,0,46,182,0,0,0,1,0,340,579
2017-02-14,46,182,0,0,0,1,0,340,0,316,582
2017-02-15,0,0,0,1,0,340,0,316,0,367,660
2017-02-16,0,1,0,340,0,316,0,367,0,355,633
2017-02-17,0,340,0,316,0,367,0,355,0,268,502
2017-02-18,0,316,0,367,0,355,0,268,0,0,0
2017-02-19,0,367,0,355,0,268,0,0,0,0,0
2017-02-20,0,355,0,268,0,0,0,0,0,312,573
2017-02-21,0,268,0,0,0,0,0,312,0,327,540
2017-02-22,0,0,0,0,0,312,0,327,0,116,339
2017-02-23,0,0,0,312,0,327,0,116,0,203,418
2017-02-24,0,312,0,327,0,116,0,203,0,204,425
2017-02-25,0,327,0,116,0,203,0,204,0,0,0
2017-02-26,0,116,0,203,0,204,0,0,0,0,0
2017-02-27,0,203,0,204,0,0,0,0,0,0,0
2017-02-28,0,204,0,0,0,0,0,0,0,0,0
2017-03-01,0,0,0,0,0,0,0,0,0,0,5
2017-03-02,0,0,0,0,0,0,0,0,0,295,587
2017-03-03,0,0,0,0,0,0,0,295,43,323,573
2017-03-04,0,0,0,0,0,295,43,323,69,286,591
2017-03-05,0,0,0,295,43,323,69,286,0,221,449
2017-03-06,0,295,43,323,69,286,0,221,3,0,4
2017-03-07,43,323,69,286,0,221,3,0,27,304,588
2017-03-08,69,286,0,221,3,0,27,304,56,198,406
2017-03-09,0,221,3,0,27,304,56,198,0,0,0
2017-03-10,3,0,27,304,56,198,0,0,0,198,428
2017-03-11,27,304,56,198,0,0,0,198,0,0,0
2017-03-12,56,198,0,0,0,198,0,0,0,0,0
2017-03-13,0,0,0,198,0,0,0,0,75,326,704
2017-03-14,0,198,0,0,0,0,75,326,73,317,733
2017-03-15,0,0,0,0,75,326,73,317,71,313,711
2017-03-16,0,0,75,326,73,317,71,313,66,285,637
2017-03-17,75,326,73,317,71,313,66,285,58,287,557
2017-03-18,73,317,71,313,66,285,58,287,0,0,0
2017-03-19,71,313,66,285,58,287,0,0,0,0,0
2017-03-20,66,285,58,287,0,0,0,0,66,278,600
2017-03-21,58,287,0,0,0,0,66,278,52,298,578
2017-03-22,0,0,0,0,66,278,52,298,64,326,679
2017-03-23,0,0,66,278,52,298,64,326,53,276,552
2017-03-24,66,278,52,298,64,326,53,276,5,288,522
2017-03-25,52,298,64,326,53,276,5,288,0,0,0
2017-03-26,64,326,53,276,5,288,0,0,0,0,0
2017-03-27,53,276,5,288,0,0,0,0,31,210,434
2017-03-28,5,288,0,0,0,0,31,210,24,180,259
2017-03-29,0,0,0,0,31,210,24,180,60,189,386
2017-03-30,0,0,31,210,24,180,60,189,59,170,398
2017-03-31,31,210,24,180,60,189,59,170,41,22,195
2017-04-01,24,180,60,189,59,170,41,22,0,0,0
2017-04-02,60,189,59,170,41,22,0,0,0,0,0
2017-04-03,59,170,41,22,0,0,0,0,0,0,0
2017-04-04,41,22,0,0,0,0,0,0,71,295,614
2017-04-05,0,0,0,0,0,0,71,295,59,179,490
2017-04-06,0,0,0,0,71,295,59,179,0,0,0
2017-04-07,0,0,71,295,59,179,0,0,56,20,302
2017-04-08,71,295,59,179,0,0,56,20,47,212,501
2017-04-09,59,179,0,0,56,20,47,212,49,315,658
2017-04-10,0,0,56,20,47,212,49,315,62,270,513
2017-04-11,56,20,47,212,49,315,62,270,0,0,0
2017-04-12,47,212,49,315,62,270,0,0,63,364,641
2017-04-13,49,315,62,270,0,0,63,364,1,0,1
2017-04-14,62,270,0,0,63,364,1,0,0,0,0
2017-04-15,0,0,63,364,1,0,0,0,0,0,0
2017-04-16,63,364,1,0,0,0,0,0,0,0,0
2017-04-17,1,0,0,0,0,0,0,0,59,345,724
2017-04-18,0,0,0,0,0,0,59,345,70,353,735
2017-04-19,0,0,0,0,59,345,70,353,65,359,745
2017-04-20,0,0,59,345,70,353,65,359,75,341,689
2017-04-21,59,345,70,353,65,359,75,341,45,258,529
2017-04-22,70,353,65,359,75,341,45,258,0,0,0
2017-04-23,65,359,75,341,45,258,0,0,0,0,0
2017-04-24,75,341,45,258,0,0,0,0,60,288,599
2017-04-25,45,258,0,0,0,0,60,288,60,291,612
2017-04-26,0,0,0,0,60,288,60,291,52,217,530
2017-04-27,0,0,60,288,60,291,52,217,61,307,639
2017-04-28,60,288,60,291,52,217,61,307,58,306,504
2017-04-29,60,291,52,217,61,307,58,306,0,0,0
2017-04-30,52,217,61,307,58,306,0,0,0,0,0
2017-05-01,61,307,58,306,0,0,0,0,0,0,1
2017-05-02,58,306,0,0,0,0,0,0,0,0,0
2017-05-03,0,0,0,0,0,0,0,0,0,0,0
2017-05-04,0,0,0,0,0,0,0,0,58,291,615
2017-05-05,0,0,0,0,0,0,58,291,52,281,525
2017-05-06,0,0,0,0,58,291,52,281,46,226,552
2017-05-07,0,0,58,291,52,281,46,226,39,19,301
2017-05-08,58,291,52,281,46,226,39,19,0,0,0
2017-05-09,52,281,46,226,39,19,0,0,52,295,557
2017-05-10,46,226,39,19,0,0,52,295,63,343,662
2017-05-11,39,19,0,0,52,295,63,343,0,0,0
2017-05-12,0,0,52,295,63,343,0,0,49,192,447
2017-05-13,52,295,63,343,0,0,49,192,0,0,0
2017-05-14,63,343,0,0,49,192,0,0,0,0,0
2017-05-15,0,0,49,192,0,0,0,0,67,349,639
2017-05-16,49,192,0,0,0,0,67,349,53,376,703
2017-05-17,0,0,0,0,67,349,53,376,70,367,761
2017-05-18,0,0,67,349,53,376,70,367,75,341,717
2017-05-19,67,349,53,376,70,367,75,341,54,256,549
2017-05-20,53,376,70,367,75,341,54,256,0,0,0
2017-05-21,70,367,75,341,54,256,0,0,0,0,0
2017-05-22,75,341,54,256,0,0,0,0,64,257,579
2017-05-23,54,256,0,0,0,0,64,257,71,267,624
